flag,function,n,m,t,performance,time_ms
march,Base,32,32,8,0.22,0.09 
march,SIMD+Blocking,32,32,8,4.23,0.00 
benchmark,benchmark,32,32,8,0,0.177800
march,Base,32,32,16,0.26,0.16 
march,SIMD+Blocking,32,32,16,5.00,0.01 
benchmark,benchmark,32,32,16,0,0.341650
march,Base,32,32,32,0.29,0.29 
march,SIMD+Blocking,32,32,32,5.64,0.02 
benchmark,benchmark,32,32,32,0,0.668180
march,Base,32,32,64,0.31,0.56 
march,SIMD+Blocking,32,32,64,6.11,0.03 
benchmark,benchmark,32,32,64,0,1.380290
march,Base,32,32,128,0.31,1.09 
march,SIMD+Blocking,32,32,128,6.34,0.05 
benchmark,benchmark,32,32,128,0,2.700810
march,Base,32,32,256,0.30,2.29 
march,SIMD+Blocking,32,32,256,6.37,0.11 
benchmark,benchmark,32,32,256,0,5.487420
march,Base,32,32,512,0.25,5.43 
march,SIMD+Blocking,32,32,512,6.31,0.22 
benchmark,benchmark,32,32,512,0,10.487470
march,Base,32,32,1024,0.19,14.33 
march,SIMD+Blocking,32,32,1024,6.35,0.43 
benchmark,benchmark,32,32,1024,0,20.875510
march,Base,32,32,2048,0.19,29.21 
march,SIMD+Blocking,32,32,2048,6.36,0.87 
benchmark,benchmark,32,32,2048,0,44.120350
march,Base,32,32,4096,0.18,59.87 
march,SIMD+Blocking,32,32,4096,6.32,1.74 
benchmark,benchmark,32,32,4096,0,83.424320
march,Base,32,32,8192,0.17,129.82 
march,SIMD+Blocking,32,32,8192,5.96,3.70 
benchmark,benchmark,32,32,8192,0,167.210080
march,Base,32,32,16384,0.10,423.35 
march,Base,32,32,32768,0.07,1312.20 
march,Base,32,32,65536,0.06,3198.08 
march,Base,32,32,131072,0.05,6966.25 
march,Base,32,32,262144,0.05,14099.40 
march,SIMD+Blocking,32,32,16384,5.36,8.21 
march,SIMD+Blocking,32,32,32768,5.16,17.08 
march,SIMD+Blocking,32,32,65536,5.16,34.11 
march,SIMD+Blocking,32,32,131072,5.12,68.81 
march,SIMD+Blocking,32,32,262144,4.17,168.90 
march,Base,32,32,524288,0.05,28739.89 
march,Base,32,32,1048576,0.05,57340.78 
march,SIMD+Blocking,32,32,524288,4.17,337.86 
march,SIMD+Blocking,32,32,1048576,4.17,675.16 
benchmark,benchmark,32,32,16384,0,335.013000
benchmark,benchmark,32,32,32768,0,670.720000
benchmark,benchmark,32,32,65536,0,1826.996000
benchmark,benchmark,32,32,131072,0,2685.247000
benchmark,benchmark,32,32,262144,0,5468.276000
benchmark,benchmark,32,32,524288,0,10714.850000
benchmark,benchmark,32,32,1048576,0,21427.959000
