flag,function,n,m,t,performance,time_ms
march,Base,64,8,64,0.41,1.63 
march,Less Flops,64,8,64,0.94,0.71 
march,Column Major,64,8,64,3.01,0.22 
march,Unrolled Loops,64,8,64,4.16,0.16 
march,SIMD,64,8,64,5.89,0.11 
march,SIMD+Blocking,64,8,64,6.65,0.10 
march,Base,64,16,64,0.38,1.74 
march,Less Flops,64,16,64,0.94,0.71 
march,Column Major,64,16,64,3.00,0.22 
march,Unrolled Loops,64,16,64,4.11,0.16 
march,SIMD,64,16,64,5.87,0.11 
march,SIMD+Blocking,64,16,64,6.61,0.10 
march,Base,64,32,64,0.35,1.93 
march,Less Flops,64,32,64,0.93,0.71 
march,Column Major,64,32,64,2.99,0.22 
march,Unrolled Loops,64,32,64,4.10,0.16 
march,SIMD,64,32,64,5.76,0.12 
march,SIMD+Blocking,64,32,64,6.42,0.10 
march,Base,64,64,64,0.29,2.33 
march,Less Flops,64,64,64,0.93,0.72 
march,Column Major,64,64,64,2.97,0.22 
march,Unrolled Loops,64,64,64,4.08,0.16 
march,SIMD,64,64,64,5.74,0.12 
march,SIMD+Blocking,64,64,64,6.41,0.10 
march,Base,64,128,64,0.21,3.12 
march,Less Flops,64,128,64,0.88,0.76 
march,Column Major,64,128,64,2.91,0.23 
march,Unrolled Loops,64,128,64,3.91,0.17 
march,SIMD,64,128,64,5.47,0.12 
march,SIMD+Blocking,64,128,64,6.07,0.11 
march,Base,64,256,64,0.14,4.71 
march,Less Flops,64,256,64,0.84,0.80 
march,Column Major,64,256,64,2.81,0.24 
march,Unrolled Loops,64,256,64,3.77,0.18 
march,SIMD,64,256,64,5.26,0.13 
march,SIMD+Blocking,64,256,64,5.40,0.12 
march,Base,64,512,64,0.08,8.04 
march,Less Flops,64,512,64,0.72,0.94 
march,Column Major,64,512,64,2.64,0.26 
march,Unrolled Loops,64,512,64,3.50,0.19 
march,SIMD,64,512,64,4.60,0.15 
march,SIMD+Blocking,64,512,64,4.91,0.14 
march,Base,64,1024,64,0.05,14.42 
march,Less Flops,64,1024,64,0.62,1.12 
march,Column Major,64,1024,64,2.36,0.29 
march,Unrolled Loops,64,1024,64,2.98,0.23 
march,SIMD,64,1024,64,3.80,0.18 
march,SIMD+Blocking,64,1024,64,4.03,0.17 
march,Base,64,2048,64,0.03,26.95 
march,Less Flops,64,2048,64,0.50,1.45 
march,Column Major,64,2048,64,1.98,0.36 
march,Unrolled Loops,64,2048,64,2.36,0.30 
march,SIMD,64,2048,64,2.85,0.25 
march,SIMD+Blocking,64,2048,64,3.00,0.24 
march,Base,64,4096,64,0.01,51.97 
march,Less Flops,64,4096,64,0.36,2.17 
march,Column Major,64,4096,64,1.48,0.52 
march,Unrolled Loops,64,4096,64,1.68,0.46 
march,SIMD,64,4096,64,1.94,0.40 
march,SIMD+Blocking,64,4096,64,2.02,0.38 
march,Base,64,8192,64,0.01,102.06 
march,Less Flops,64,8192,64,0.23,3.80 
march,Column Major,64,8192,64,1.04,0.85 
march,Unrolled Loops,64,8192,64,1.12,0.79 
march,SIMD,64,8192,64,1.19,0.74 
march,SIMD+Blocking,64,8192,64,1.16,0.76 
march,Base,64,16384,64,0.01,205.00 
march,Less Flops,64,16384,64,0.10,11.47 
march,Column Major,64,16384,64,0.61,1.82 
march,Unrolled Loops,64,16384,64,0.64,1.73 
march,SIMD,64,16384,64,0.65,1.69 
march,SIMD+Blocking,64,16384,64,0.46,2.38 
march,Base,64,32768,64,0.00,405.79 
march,Less Flops,64,32768,64,0.07,23.53 
march,Column Major,64,32768,64,0.31,4.91 
march,Unrolled Loops,64,32768,64,0.31,4.90 
march,SIMD,64,32768,64,0.32,4.87 
march,SIMD+Blocking,64,32768,64,0.24,6.43 
march,Base,64,65536,64,0.00,806.87 
march,Less Flops,64,65536,64,0.04,61.11 
march,Column Major,64,65536,64,0.26,9.46 
march,Unrolled Loops,64,65536,64,0.25,9.55 
march,SIMD,64,65536,64,0.25,9.51 
march,SIMD+Blocking,64,65536,64,0.16,14.89 
march,Base,64,131072,64,0.00,1605.99 
march,Less Flops,64,131072,64,0.03,121.86 
march,Column Major,64,131072,64,0.22,18.55 
march,Unrolled Loops,64,131072,64,0.22,18.79 
march,SIMD,64,131072,64,0.22,18.77 
march,SIMD+Blocking,64,131072,64,0.14,29.33 
march,Base,64,262144,64,0.00,3213.96 
march,Less Flops,64,262144,64,0.02,376.20 
march,Column Major,64,262144,64,0.22,35.59 
march,Unrolled Loops,64,262144,64,0.21,36.27 
march,SIMD,64,262144,64,0.21,36.30 
march,SIMD+Blocking,64,262144,64,0.13,59.53 
march,Base,64,524288,64,0.00,6411.23 
march,Less Flops,64,524288,64,0.02,687.11 
march,Column Major,64,524288,64,0.21,71.30 
march,Unrolled Loops,64,524288,64,0.20,72.69 
