flag,function,n,m,t,performance,time_ms
march,Base,32,32,8,0.22,0.09 
march,Less Flops,32,32,8,1.21,0.02 
march,Column Major,32,32,8,2.31,0.01 
march,Unrolled Loops,32,32,8,3.09,0.01 
march,SIMD,32,32,8,4.31,0.00 
march,SIMD+Blocking,32,32,8,4.23,0.00 
benchmark,benchmark,32,32,8,0,0.177800
march,Base,32,32,16,0.26,0.16 
march,Less Flops,32,32,16,1.15,0.04 
march,Column Major,32,32,16,2.47,0.02 
march,Unrolled Loops,32,32,16,3.42,0.01 
march,SIMD,32,32,16,4.85,0.01 
march,SIMD+Blocking,32,32,16,5.00,0.01 
benchmark,benchmark,32,32,16,0,0.341650
march,Base,32,32,32,0.29,0.29 
march,Less Flops,32,32,32,1.04,0.08 
march,Column Major,32,32,32,2.59,0.03 
march,Unrolled Loops,32,32,32,3.66,0.02 
march,SIMD,32,32,32,5.34,0.02 
march,SIMD+Blocking,32,32,32,5.64,0.02 
benchmark,benchmark,32,32,32,0,0.668180
march,Base,32,32,64,0.31,0.56 
march,Less Flops,32,32,64,0.99,0.17 
march,Column Major,32,32,64,2.66,0.06 
march,Unrolled Loops,32,32,64,3.74,0.05 
march,SIMD,32,32,64,5.64,0.03 
march,SIMD+Blocking,32,32,64,6.11,0.03 
benchmark,benchmark,32,32,64,0,1.380290
march,Base,32,32,128,0.31,1.09 
march,Less Flops,32,32,128,0.86,0.40 
march,Column Major,32,32,128,2.71,0.13 
march,Unrolled Loops,32,32,128,3.87,0.09 
march,SIMD,32,32,128,5.78,0.06 
march,SIMD+Blocking,32,32,128,6.34,0.05 
benchmark,benchmark,32,32,128,0,2.700810
march,Base,32,32,256,0.30,2.29 
march,Less Flops,32,32,256,0.79,0.87 
march,Column Major,32,32,256,2.72,0.25 
march,Unrolled Loops,32,32,256,3.84,0.18 
march,SIMD,32,32,256,5.80,0.12 
march,SIMD+Blocking,32,32,256,6.37,0.11 
benchmark,benchmark,32,32,256,0,5.487420
march,Base,32,32,512,0.25,5.43 
march,Less Flops,32,32,512,0.70,1.96 
march,Column Major,32,32,512,2.71,0.51 
march,Unrolled Loops,32,32,512,3.82,0.36 
march,SIMD,32,32,512,5.75,0.24 
march,SIMD+Blocking,32,32,512,6.31,0.22 
benchmark,benchmark,32,32,512,0,10.487470
march,Base,32,32,1024,0.19,14.33 
march,Less Flops,32,32,1024,0.47,5.81 
march,Column Major,32,32,1024,2.71,1.02 
march,Unrolled Loops,32,32,1024,3.88,0.71 
march,SIMD,32,32,1024,5.78,0.48 
march,SIMD+Blocking,32,32,1024,6.35,0.43 
benchmark,benchmark,32,32,1024,0,20.875510
march,Base,32,32,2048,0.19,29.21 
march,Less Flops,32,32,2048,0.44,12.57 
march,Column Major,32,32,2048,2.71,2.03 
march,Unrolled Loops,32,32,2048,3.84,1.43 
march,SIMD,32,32,2048,5.77,0.95 
march,SIMD+Blocking,32,32,2048,6.36,0.87 
benchmark,benchmark,32,32,2048,0,44.120350
march,Base,32,32,4096,0.18,59.87 
march,Less Flops,32,32,4096,0.44,25.27 
march,Column Major,32,32,4096,2.71,4.06 
march,Unrolled Loops,32,32,4096,3.87,2.84 
march,SIMD,32,32,4096,5.74,1.92 
march,SIMD+Blocking,32,32,4096,6.32,1.74 
benchmark,benchmark,32,32,4096,0,83.424320
march,Base,32,32,8192,0.17,129.82 
march,Less Flops,32,32,8192,0.41,53.81 
