flag,function,n,m,t,performance,time_ms
benchmark,benchmark,32,2048,32,0,1.909250
benchmark,benchmark,32,4096,32,0,3.177530
benchmark,benchmark,32,8192,32,0,5.702020
benchmark,benchmark,32,16384,32,0,11.037760
benchmark,benchmark,32,32768,32,0,27.915000
benchmark,benchmark,32,65536,32,0,74.571000
benchmark,benchmark,32,131072,32,0,158.045000
benchmark,benchmark,32,262144,32,0,317.466000
benchmark,benchmark,32,524288,32,0,622.818000
benchmark,benchmark,32,1048576,32,0,1248.667000
